org_id,station_device_id,station_device_name,lat,lon,ess_sensor_id,obs_iso8601,metric_full,value
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728631,2019-05-08T23:53:01+00:00,weather-data__avg-wind-speed,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728632,2019-05-08T23:53:01+00:00,weather-data__precipitation-one-hour,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728633,2019-05-08T23:53:01+00:00,weather-data__dewpoint-temp,15.70
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728634,2019-05-08T23:53:01+00:00,weather-data__air-temperature,19.90
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728635,2019-05-08T23:53:01+00:00,weather-data__max-wind-gust-direction,NE
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728636,2019-05-08T23:53:01+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728637,2019-05-08T23:53:01+00:00,weather-data__spot-wind-direction,N
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728638,2019-05-08T23:53:01+00:00,weather-data__avg-wind-direction,E
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728639,2019-05-08T23:53:01+00:00,weather-data__min-temperature,15.50
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728640,2019-05-08T23:53:01+00:00,weather-data__precipitation-six-hour,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728641,2019-05-08T23:53:01+00:00,weather-data__precipitation-twelve-hour,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728642,2019-05-08T23:53:01+00:00,weather-data__relative-humidity,77
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728643,2019-05-08T23:53:01+00:00,weather-data__precipitation-three-hour,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728644,2019-05-08T23:53:01+00:00,weather-data__max-temperature,29.70
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728645,2019-05-08T23:53:01+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728646,2019-05-08T23:53:01+00:00,weather-data__wetbulb-temp,17.20
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728647,2019-05-08T23:53:01+00:00,weather-data__max-wind-gust-speed,1.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728648,2019-05-08T23:53:01+00:00,weather-data__precipitation-rate,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728649,2019-05-08T23:53:01+00:00,weather-data__precipitation-24-hour,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728651,2019-05-08T23:53:01+00:00,surface-data__surface-friction-index,81.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728652,2019-05-08T23:53:01+00:00,surface-data__surface-water-depth,0.00
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728653,2019-05-08T23:53:01+00:00,surface-data__surface-temperature,20.20
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728659,2019-05-08T23:53:01+00:00,subsurface-data__subsurface-sensor-error,none
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728660,2019-05-08T23:53:01+00:00,subsurface-data__subsurface-temperature,18
