org_id,station_device_id,station_device_name,lat,lon,ess_sensor_id,obs_iso8601,metric_full,value
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728636,2019-05-08T23:53:01+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather478588211,NRO-ESS-US15-N-02272,39.228232,-77.533611,Sensor-531728645,2019-05-08T23:53:01+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6705634,NWRO-ESS-RT50-W-03341,39.012937,-77.960702,Sensor-553508825,2019-05-08T23:51:48+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6705634,NWRO-ESS-RT50-W-03341,39.012937,-77.960702,Sensor-553508828,2019-05-08T23:51:48+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6707674,SWRO-ESS-I581-N-00055,37.33222,-79.99028,Sensor-344470565,2025-09-19T03:33:23+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6707674,SWRO-ESS-I581-N-00055,37.33222,-79.99028,Sensor-344470568,2025-09-19T03:33:23+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6707892,SWRO-ESS-I77-N-00169,36.7615,-80.7946,Sensor-267145407,2025-09-19T03:33:03+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6707892,SWRO-ESS-I77-N-00169,36.7615,-80.7946,Sensor-267145411,2025-09-19T03:33:03+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708033,SWRO-ESS-I77-N-00206,36.7987,-80.8436,Sensor-8557101,2025-09-19T03:33:01+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6708033,SWRO-ESS-I77-N-00206,36.7987,-80.8436,Sensor-8557103,2025-09-19T03:33:01+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708125,SWRO-ESS-I77-N-00248,36.856,-80.8643,Sensor-267181815,2025-09-19T03:32:47+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708125,SWRO-ESS-I77-N-00248,36.856,-80.8643,Sensor-267181816,2025-09-19T03:32:47+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6708310,SWRO-ESS-I77-M-00323,36.943423,-80.918186,Sensor-267168198,2025-03-16T13:05:46+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6708310,SWRO-ESS-I77-M-00323,36.943423,-80.918186,Sensor-267168218,2025-03-16T13:05:46+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708535,SWRO-ESS-I77-S-00541,37.13222,-81.12222,Sensor-351804076,2025-09-19T03:31:34+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6708535,SWRO-ESS-I77-S-00541,37.13222,-81.12222,Sensor-351804091,2025-09-19T03:31:34+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708872,SWRO-ESS-I81-N-01195,37.144044,-80.347305,Sensor-267147810,2025-09-19T03:32:59+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6708872,SWRO-ESS-I81-N-01195,37.144044,-80.347305,Sensor-267147830,2025-09-19T03:32:59+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708947,SWRO-ESS-I81-S-01652,37.525073,-79.705741,Sensor-344480587,2025-09-19T03:33:40+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6708947,SWRO-ESS-I81-S-01652,37.525073,-79.705741,Sensor-344480591,2025-09-19T03:33:40+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6709181,SWRO-ESS-US19-N-00248,36.815736,-82.114998,Sensor-8582352,2025-07-17T23:49:44+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6709181,SWRO-ESS-US19-N-00248,36.815736,-82.114998,Sensor-8582353,2025-07-17T23:49:44+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6709273,SWRO-ESS-US220-N-00800,37.432178,-79.903454,Sensor-9270163,2025-09-19T03:33:24+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6709273,SWRO-ESS-US220-N-00800,37.432178,-79.903454,Sensor-9270164,2025-09-19T03:33:24+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6709351,SWRO-ESS-US23-N-00388,36.916328,-82.665653,Sensor-319304974,2019-05-08T23:52:38+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6709351,SWRO-ESS-US23-N-00388,36.916328,-82.665653,Sensor-319304977,2019-05-08T23:52:38+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6709429,SWRO-ESS-US501-M-00711,37.365718,-79.172169,Sensor-351804477,2019-05-08T23:37:35+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6709429,SWRO-ESS-US501-M-00711,37.365718,-79.172169,Sensor-351804492,2019-05-08T23:37:35+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6709507,SWRO-ESS-VA100-S-00302,37.12385,-80.696133,Sensor-8593970,2025-09-19T03:33:26+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather6709507,SWRO-ESS-VA100-S-00302,37.12385,-80.696133,Sensor-8593995,2025-09-19T03:33:26+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather478567876,NRO-ESS-I95-S-01710,38.792757,-77.157587,Sensor-531727162,2019-05-08T23:59:24+00:00,weather-data__precipitation-start-time,
Q-Free,OpenTMS-Weather478567876,NRO-ESS-I95-S-01710,38.792757,-77.157587,Sensor-531727173,2019-05-08T23:59:24+00:00,weather-data__precipitation-end-time,
Q-Free,OpenTMS-Weather6705634,NWRO-ESS-RT50-W-03341,39.012937,-77.960702,Sensor-553508823,2019-05-08T23:51:48+00:00,weather-data__air-temperature,100.10
Q-Free,OpenTMS-Weather6705634,NWRO-ESS-RT50-W-03341,39.012937,-77.960702,Sensor-553508834,2019-05-08T23:51:48+00:00,weather-data__avg-wind-speed,6553.50
Q-Free,OpenTMS-Weather6705634,NWRO-ESS-RT50-W-03341,39.012937,-77.960702,Sensor-553508835,2019-05-08T23:51:48+00:00,weather-data__relative-humidity,101
Q-Free,OpenTMS-Weather6706271,NWRO-ESS-I81-N-02980,39.0034,-78.322,Sensor-547794053,2019-05-08T23:56:24+00:00,surface-data__surface-temperature,100.10
Q-Free,OpenTMS-Weather6707892,SWRO-ESS-I77-N-00169,36.7615,-80.7946,Sensor-267145414,2025-09-19T03:33:03+00:00,weather-data__relative-humidity,101
Q-Free,OpenTMS-Weather6707892,SWRO-ESS-I77-N-00169,36.7615,-80.7946,Sensor-267145439,2025-09-19T03:33:03+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708033,SWRO-ESS-I77-N-00206,36.7987,-80.8436,Sensor-8557135,2025-09-19T03:33:01+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708125,SWRO-ESS-I77-N-00248,36.856,-80.8643,Sensor-267181838,2025-09-19T03:32:47+00:00,weather-data__avg-wind-speed,65535.00
Q-Free,OpenTMS-Weather6708125,SWRO-ESS-I77-N-00248,36.856,-80.8643,Sensor-267181851,2025-09-19T03:32:47+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708310,SWRO-ESS-I77-M-00323,36.943423,-80.918186,Sensor-267168195,2025-03-16T13:05:46+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708310,SWRO-ESS-I77-M-00323,36.943423,-80.918186,Sensor-267168206,2025-03-16T13:05:46+00:00,weather-data__relative-humidity,101
Q-Free,OpenTMS-Weather6708535,SWRO-ESS-I77-S-00541,37.13222,-81.12222,Sensor-351804109,2025-09-19T03:31:34+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708872,SWRO-ESS-I81-N-01195,37.144044,-80.347305,Sensor-267147854,2025-09-19T03:32:59+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708872,SWRO-ESS-I81-N-01195,37.144044,-80.347305,Sensor-267147869,2025-09-19T03:32:59+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6708947,SWRO-ESS-I81-S-01652,37.525073,-79.705741,Sensor-344480597,2025-09-19T03:33:40+00:00,surface-data__surface-temperature,1001.00
Q-Free,OpenTMS-Weather6709429,SWRO-ESS-US501-M-00711,37.365718,-79.172169,Sensor-351804447,2019-05-08T23:37:35+00:00,surface-data__surface-temperature,100.10
Q-Free,OpenTMS-Weather9641057331,CRO-ESS-US58-E-03719,36.671433,-78.288318,Sensor-9641057353,2025-09-04T04:32:46+00:00,weather-data__air-temperature,6553.50
Q-Free,OpenTMS-Weather9641057331,CRO-ESS-US58-E-03719,36.671433,-78.288318,Sensor-9641057372,2025-09-04T04:32:46+00:00,weather-data__relative-humidity,65535
